Team,,Result,Odds1,Odds2
Team SoloMid˜- Cloud9,,1:00,136,-179
Dignitas˜- Evil Geniuses,,1:00,108,-143
Golden Guardians -˜100 Thieves,,0:01,311,-455
Counter Logic Gaming -˜FlyQuest eSports,,0:01,-111,-115
Evil Geniuses -˜Immortals,,0:01,-294,213
Cloud9 -˜Team Liquid,,0:01,-145,112
100 Thieves -˜Team SoloMid,,0:01,-104,-125
Dignitas˜- Golden Guardians,,1:00,-333,241
Immortals -˜Counter Logic Gaming,,0:01,-133,102
Team Liquid˜- Golden Guardians,,1:00,-714,447
FlyQuest eSports -˜Cloud9,,0:01,285,-417
100 Thieves -˜Evil Geniuses,,0:01,-147,112
Team SoloMid -˜Dignitas,,0:01,-233,175
Dignitas -˜Counter Logic Gaming,,0:01,-233,175
Golden Guardians -˜Evil Geniuses,,0:01,320,-476
Immortals -˜Team Liquid,,0:01,313,-455
100 Thieves -˜Cloud9,,0:01,136,-179
FlyQuest eSports˜- Team SoloMid,,1:00,204,-278
Golden Guardians -˜Immortals,,0:01,137,-179
Team SoloMid˜- Counter Logic Gaming,,1:00,-294,214
Dignitas -˜100 Thieves,,0:01,146,-189
Cloud9˜- Evil Geniuses,,1:00,-233,173
Team Liquid˜- FlyQuest eSports,,1:00,-455,305
Immortals -˜Dignitas,,0:01,122,-159
Counter Logic Gaming -˜100 Thieves,,0:01,231,-312
Evil Geniuses˜- FlyQuest eSports,,1:00,-244,181
Team Liquid -˜Team SoloMid,,0:01,-169,129
Cloud9˜- Golden Guardians,,1:00,-769,459
Evil Geniuses˜- Counter Logic Gaming,,1:00,-345,225
Team Liquid˜- Cloud9,,1:00,114,-147
100 Thieves -˜Golden Guardians,,0:01,-667,411
Immortals˜- FlyQuest eSports,,1:00,108,-141
Dignitas˜- Team SoloMid,,1:00,217,-294
FlyQuest eSports˜- Golden Guardians,,1:00,-263,195
Team Liquid -˜Evil Geniuses,,0:01,-238,177
Team SoloMid˜- 100 Thieves,,1:00,106,-137
Counter Logic Gaming -˜Immortals,,0:01,-143,110
Cloud9˜- Dignitas,,1:00,-370,263
Immortals -˜100 Thieves,,0:01,289,-435
Team SoloMid˜- Evil Geniuses,,1:00,-139,108
Golden Guardians -˜Team Liquid,,0:01,484,-833
Dignitas˜- FlyQuest eSports,,1:00,-109,-120
Counter Logic Gaming -˜Cloud9,,0:01,423,-714
Golden Guardians -˜Counter Logic Gaming,,0:01,-106,-122
Cloud9˜- FlyQuest eSports,,1:00,-385,265
Evil Geniuses -˜Dignitas,,0:01,-278,204
Immortals -˜Team SoloMid,,0:01,156,-208
Team Liquid -˜100 Thieves,,0:01,-167,129
Immortals˜- Evil Geniuses,,1:00,237,-323
Team SoloMid˜- Team Liquid,,1:00,243,-333
Golden Guardians -˜Dignitas,,0:01,102,-133
Cloud9˜- 100 Thieves,,1:00,-154,117
FlyQuest eSports˜- Counter Logic Gaming,,1:00,-172,131
Dignitas˜- Immortals,,1:00,-103,-127
Team SoloMid˜- Golden Guardians,,1:00,-250,183
Evil Geniuses˜- Cloud9,,1:00,131,-172
Counter Logic Gaming -˜Team Liquid,,0:01,459,-769
100 Thieves˜- FlyQuest eSports,,1:00,-270,202
100 Thieves˜- Dignitas,,1:00,-370,264
Counter Logic Gaming -˜Team SoloMid,,0:01,156,-208
